,0,1,2,3,4,5,6,7,8,9
14,37i9dQZF1DX1lVhptIYRda,5gVCfYmQRPy1QJifP8f5gg,0.524,0.643,0.0297,0.451,0.0,0.221,0.397,135.962
15,37i9dQZF1DX1lVhptIYRda,4GyD3o5hWoyCuYpdlzZlRL,0.593,0.552,0.028,0.18,1.71e-05,0.11,0.39,115.0
16,37i9dQZF1DX1lVhptIYRda,5OLaVCAM2pqg7X9mAM2W8M,0.628,0.632,0.0325,0.257,0.0,0.288,0.559,137.854
17,37i9dQZF1DX1lVhptIYRda,2ccuOtUjIyx3tPcsnpeBzJ,0.527,0.461,0.0269,0.118,0.0,0.0831,0.227,128.153
18,37i9dQZF1DX1lVhptIYRda,6F7UOC6fPWOkPqybOWBHSv,0.575,0.644,0.0309,0.271,0.0,0.131,0.626,80.07
19,37i9dQZF1DX1lVhptIYRda,4q9NEq8kUmSZwtNsxL2KJN,0.663,0.502,0.0285,0.791,0.0,0.105,0.371,143.969
20,37i9dQZF1DX1lVhptIYRda,2FGOg7uYBfnspkPOISXTFY,0.479,0.742,0.0539,0.0069,0.000834,0.278,0.454,142.909
21,37i9dQZF1DX1lVhptIYRda,3YaycOQk7PoQpl7YdvmWdX,0.636,0.866,0.0553,0.243,5.42e-06,0.371,0.963,85.004
22,37i9dQZF1DX1lVhptIYRda,7FEu6U2jXAs2URjx93AyTm,0.497,0.726,0.0363,0.00331,0.0,0.103,0.418,147.91
23,37i9dQZF1DX1lVhptIYRda,3fA0FKdkPmBa62MSxwewKE,0.63,0.544,0.0287,0.0282,0.0,0.199,0.389,112.942
24,37i9dQZF1DX1lVhptIYRda,4jp9FimhP2bQ93vR0A5r7b,0.523,0.64,0.0295,0.0512,5.52e-05,0.0675,0.48,144.022
25,37i9dQZF1DX1lVhptIYRda,3SeeaIXnrCfT88vHVCRWHl,0.646,0.816,0.0269,0.00496,0.0,0.179,0.865,102.972
26,37i9dQZF1DX1lVhptIYRda,0zpaxKLpHw3zCmiYcvn9OV,0.533,0.663,0.0333,0.0628,0.0,0.108,0.83,175.878
27,37i9dQZF1DX1lVhptIYRda,3vCUelLOtiuNF78p9LNWZF,0.789,0.642,0.0352,0.357,0.0,0.0985,0.755,121.003
28,37i9dQZF1DX1lVhptIYRda,6iai8D40xiwuktWrxcInt1,0.584,0.821,0.0305,0.01,0.0,0.196,0.571,146.0
29,37i9dQZF1DX1lVhptIYRda,5aWxPjDd4ZfpsmDoeR1plq,0.71,0.401,0.0335,0.595,0.0,0.0996,0.0975,117.979
30,37i9dQZF1DX1lVhptIYRda,1fff5nZGyRJtFLkOrSSwOU,0.464,0.755,0.0354,0.00838,0.0,0.0989,0.449,155.973
31,37i9dQZF1DX1lVhptIYRda,3HGnIIdHYIbkowzLk8UHbE,0.678,0.528,0.0551,0.289,0.0,0.0734,0.614,79.018
32,37i9dQZF1DX1lVhptIYRda,4Qum1kECNQrpREev5fvAQ4,0.492,0.708,0.0334,0.0975,0.0,0.12,0.697,161.989
33,37i9dQZF1DX1lVhptIYRda,4ELynSlkV4OHcBCFenFJ7U,0.826,0.603,0.0737,0.0474,0.0,0.0831,0.681,107.494
34,37i9dQZF1DX1lVhptIYRda,3NIMPlnySYOfVF5Vxr4Ae1,0.7,0.616,0.0282,0.0176,0.0,0.463,0.466,110.059
35,37i9dQZF1DX1lVhptIYRda,77oKig47u34qCCFWKMfu1e,0.635,0.747,0.0293,0.00313,0.0,0.346,0.753,104.027
